Participant ID,Grade,Caste,Income less than 1 Lakh,AA income,AA caste,Score
ID1,B,General Category,no,no,yes,67
ID2,B,General Category,no,no,yes,58
ID3,B,General Category,yes,yes,no,58
ID4,B,SC/ST/OBC,no,yes,no,58
ID5,B,SC/ST/OBC,yes,yes,no,58
ID6,B,General Category,yes,no,yes,50
ID7,C,General Category,no,no,yes,42
ID8,C,SC/ST/OBC,no,no,yes,42
